entity:participant_id	analysis_ready_bam	analysis_ready_bam_index	analysis_ready_bam_md5	output_vcf	output_vcf_index	Phenotype	PN	POP	NO	SpecNo	Species	Site	SiteName	Lat	Long	Date	SL	Sex	EOD_FILE	Notes	set_of_unaligned_bams	stage1_gvcf	stage1_gvcf_index	unaligned_bam_list
APA_193						Wobble	APA_193	APA	193	MSU-193	Paramormyrops kingsleyae	2019-017	Ipassa Creek	-2.204136	11.461935	7/7/19	75	Male*	PKING_193.mat					
APA_198						Wobble	APA_198	APA	198	MSU-198	Paramormyrops kingsleyae	2019-017	Ipassa Creek	-2.204136	11.461935	7/7/19	40	Juvenile	PKING_198.mat					
APA_203						Wobble	APA_203	APA	203	MSU-203	Paramormyrops kingsleyae	2019-017	Ipassa Creek	-2.204136	11.461935	7/7/19	56	Juvenile	PKING_203.mat					
APA_207						Wobble	APA_207	APA	207	MSU-207	Paramormyrops kingsleyae	2019-017	Ipassa Creek	-2.204136	11.461935	7/7/19	52	Juvenile	PKING_207.mat					
APA_208						Wobble	APA_208	APA	208	MSU-208	Paramormyrops kingsleyae	2019-017	Ipassa Creek	-2.204136	11.461935	7/7/19	58	Juvenile	PKING_208.mat					
APA_212						Wobble	APA_212	APA	212	MSU-212	Paramormyrops kingsleyae	2019-017	Ipassa Creek	-2.204136	11.461935	7/7/19	47	Juvenile	PKING_212.mat					
APA_213						Wobble	APA_213	APA	213	MSU-213	Paramormyrops kingsleyae	2019-017	Ipassa Creek	-2.204136	11.461935	7/7/19	50	Juvenile	PKING_213.mat					
APA_223						Wobble	APA_223	BAM	223	MSU-223	Paramormyrops kingsleyae	2019-014	Bambomo Creek	-2.163303	11.461958	7/7/19	98	Male*	PKING_223.mat					
APA_273						Wobble	APA_273	APA	273	MSU-273	Paramormyrops kingsleyae	2019-018	Ipassa Creek	-2.211931	11.459072	7/12/19	106	Male	PKING_273.mat					
APA_302						Wobble	APA_302	APA	302	MSU-302	Paramormyrops kingsleyae	2019-021	Ipassa Creek	-2.212574	11.458763	7/12/19	67	ND	PKING_302.mat					
APA_309						Wobble	APA_309	APA	309	MSU-309	Paramormyrops kingsleyae	2019-018	Ipassa Creek	-2.211931	11.459072	7/12/19	49	ND	PKING_309.mat					
APA_6675						TP	APA_6675	APA	6675	CU-6675	Paramormyrops kingsleyae	2009-018	Ipassa Creek	-2.211633333	11.45966667	8/5/09	89	Male	6675.eod					
APA_6676						TP	APA_6676	APA	6676	CU-6676	Paramormyrops kingsleyae	2009-018	Ipassa Creek	-2.211633333	11.45966667	8/5/09	58	Male	6676.eod					
APA_6677						TP	APA_6677	APA	6677	CU-6677	Paramormyrops kingsleyae	2009-018	Ipassa Creek	-2.211633333	11.45966667	8/5/09	55	Female	6677.eod					
APA_6678						TP	APA_6678	APA	6678	CU-6678	Paramormyrops kingsleyae	2009-018	Ipassa Creek	-2.211633333	11.45966667	8/5/09	61	Female	6678.eod					
APA_6679						TP	APA_6679	APA	6679	CU-6679	Paramormyrops kingsleyae	2009-018	Ipassa Creek	-2.211633333	11.45966667	8/5/09	51	Juvenile / Female	6679.eod					
APA_6680						TP	APA_6680	APA	6680	CU-6680	Paramormyrops kingsleyae	2009-018	Ipassa Creek	-2.211633333	11.45966667	8/5/09	52	Juvenile / Female	6680.eod					
APA_6681						Wobble	APA_6681	APA	6681	CU-6681	Paramormyrops kingsleyae	2009-018	Ipassa Creek	-2.211633333	11.45966667	8/5/09	50	Juvenile / Female	6681.eod					
APA_6682						TP	APA_6682	APA	6682	CU-6682	Paramormyrops kingsleyae	2009-018	Ipassa Creek	-2.211633333	11.45966667	8/5/09	84	Male	6682.eod					
APA_6683						TP	APA_6683	APA	6683	CU-6683	Paramormyrops kingsleyae	2009-018	Ipassa Creek	-2.211633333	11.45966667	8/5/09	49	Juvenile / Female	6683.eod					
APA_6684						TP	APA_6684	APA	6684	CU-6684	Paramormyrops kingsleyae	2009-018	Ipassa Creek	-2.211633333	11.45966667	8/5/09	46	Juvenile / Female	6684.eod					
APA_6685						TP	APA_6685	APA	6685	CU-6685	Paramormyrops kingsleyae	2009-018	Ipassa Creek	-2.211633333	11.45966667	8/5/09	69	Female	6685.eod					
APA_6687						TP	APA_6687	APA	6687	CU-6687	Paramormyrops kingsleyae	2009-018	Ipassa Creek	-2.211633333	11.45966667	8/5/09	51	Juvenile	6687.eod					
APA_6707						TP	APA_6707	APA	6707	CU-6707	Paramormyrops kingsleyae	2009-018	Ipassa Creek	-2.211633333	11.45966667	8/6/09	50	Juvenile / Female	6707.eod					
APA_6708						TP	APA_6708	APA	6708	CU-6708	Paramormyrops kingsleyae	2009-018	Ipassa Creek	-2.211633333	11.45966667	8/6/09	41	Juvenile	6708.eod					
APA_6709						TP	APA_6709	APA	6709	CU-6709	Paramormyrops kingsleyae	2009-018	Ipassa Creek	-2.211633333	11.45966667	8/6/09	64	Juvenile	6709.eod					
APA_6710						TP	APA_6710	APA	6710	CU-6710	Paramormyrops kingsleyae	2009-018	Ipassa Creek	-2.211633333	11.45966667	8/6/09	ND	ND	6710.eod					
APA_6711						TP	APA_6711	APA	6711	CU-6711	Paramormyrops kingsleyae	2009-018	Ipassa Creek	-2.211633333	11.45966667	8/6/09	59	Juvenile	6711.eod					
APA_6712						TP	APA_6712	APA	6712	CU-6712	Paramormyrops kingsleyae	2009-018	Ipassa Creek	-2.211633333	11.45966667	8/6/09	77	Juvenile / Female	6712.eod					
APA_6713						Wobble	APA_6713	APA	6713	CU-6713	Paramormyrops kingsleyae	2009-018	Ipassa Creek	-2.211633333	11.45966667	8/6/09	55	Juvenile	6713.eod					
APA_6737						TP	APA_6737	APA	6737	CU-6737	Paramormyrops kingsleyae	2009-018	Ipassa Creek	-2.211633333	11.45966667	8/8/09	48.5	Juvenile	6737.eod					
