Tip Number,Tip Name,Genus,Species,,Phenotype,Source
74,Marcusenius_krameri_67_B10,Marcusenius,krameri,Marcusenius krameri,BP,http://doi.org/10.11646/zootaxa.4200.3.2
20,Petrocephalus_okavangensis_67_E04,Petrocephalus,okavangensis,Petrocephalus okavangensis,BP,http://dx.doi.org/10.1080/00222933.2012.708452 
37,Mormyrops_breviceps_58_G06,Mormyrops,breviceps,Mormyrops breviceps,BP,https://core.ac.uk/download/pdf/16688725.pdf
4,Petrocephalus_catostoma_58_G05,Petrocephalus,catostoma,Petrocephalus catostoma,BP,https://epub.uni-regensburg.de/1035/1/kramer2_.pdf
23,Petrocephalus_longicapitis_67_D01,Petrocephalus,longicapitis,Petrocephalus longicapitis,BP,https://epub.uni-regensburg.de/1035/1/kramer2_.pdf
112,Campylomormyrus_cassaicus_58_D08,Campylomormyrus,cassaicus,Campylomormyrus cassaicus,??,
107,Campylomormyrus_christyi_64_C08,Campylomormyrus,christyi,Campylomormyrus christyi,??,
57,Mormyrus_lacerda_SRR9215603,Mormyrus,lacerda,Mormyrus lacerda,BP,https://epub.uni-regensburg.de/27753/4/Kramer_2013_Mormyrus_final.pdf
58,Mormyrus_longirostris_58_E02,Mormyrus,longirostris,Mormyrus longirostris,BP,https://epub.uni-regensburg.de/27753/4/Kramer_2013_Mormyrus_final.pdf
14,Petrocephalus_pallidomaculatus_58_E04,Petrocephalus,pallidomaculatus,Petrocephalus pallidomaculatus,BP,https://mormyrids.myspecies.info/sites/mormyrids.myspecies.info/files/j_fish_biology_2009_moritz.pdf
115,Campylomormyrus_luapulaensis_64_D05,Campylomormyrus,luapulaensis,Campylomormyrus luapulaensis,??,
104,Campylomormyrus_mirus_58_E01,Campylomormyrus,mirus,Campylomormyrus mirus,??,
116,hyperopisus_bebe_SRR8893253,hyperopisus,bebe,Hyperopisus bebe,TP,https://onlinelibrary.wiley.com/doi/epdf/10.1002/neu.480170303
60,Mormyrus_caschive_58_C05,Mormyrus,caschive,Mormyrus caschive,BP,https://sfi-cybium.fr/en/node/117
138,Pollimyrus_castelnaui_67_F10,Pollimyrus,castelnaui,Pollimyrus castelnaui,MMP,https://www.jstor.org/stable/4536545?seq=3
12,Petrocephalus_tenuicauda_58_G01,Petrocephalus,tenuicauda,Petrocephalus tenuicauda,BP,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4522468/
77,Hippopotamyrus_longilateralis_SRR9215643,Hippopotamyrus,longilateralis,Hippopotamyrus longilateralis,TP,https://www.tandfonline.com/doi/abs/10.1080/00222931003764089
73,Marcusenius_altisambesi_67_B05,Marcusenius,altisambesi,Marcusenius altisambesi,BP,https://www.tandfonline.com/doi/full/10.1080/00222930701250987?casa_token=pj3BW7U-6WQAAAAA%3ADx7vim6oQiNCKil87m10wTedvTaRSRI4UPW4WvKOqATwnzcxDBLBISDLI9bgmwTx9nzcTf0oL70#d1e667
89,Marcusenius_sanagaensis_58_A05,Marcusenius,sanagaensis,Marcusenius sanagaensis,BP,https://www.tandfonline.com/doi/full/10.1080/00222930701250987?casa_token=pj3BW7U-6WQAAAAA%3ADx7vim6oQiNCKil87m10wTedvTaRSRI4UPW4WvKOqATwnzcxDBLBISDLI9bgmwTx9nzcTf0oL70#d1e667
70,Marcusenius_senegalensis_58_A01,Marcusenius,senegalensis,Marcusenius senegalensis,TP,https://www.tandfonline.com/doi/full/10.1080/10236244.2013.796161#d1e455
99,Cyphomyrus_macrops_64_B03,Cyphomyrus,macrops,Cyphomyrus macrops,??,
69,Marcusenius_ussheri_SRR8893554,Marcusenius,ussheri,Marcusenius ussheri,BP,https://www.tandfonline.com/doi/full/10.1080/10236244.2013.796161#d1e656
72,Cyphomyrus_sp_1_58_A10,Cyphomyrus,sp,Cyphomyrus sp,??,
95,Cyphomyrus_sp1_JPS_1000,Cyphomyrus,sp1,Cyphomyrus sp1,??,
100,Cyphomyrus_wilverthi_SRR8717167,Cyphomyrus,wilverthi,Cyphomyrus wilverthi,??,
141,Cryptomyrus_ogoouensis_SRR8717184,Cryptomyrus,ogoouensis,Cryptomyrus ogoouensis,TP,https://zookeys.pensoft.net/articles.php?id=7137
142,Boulengeromyrus_knoepffleri_SRR8717394,Boulengeromyrus,knoepffleri,Boulengeromyrus knoepffleri,BP,Macaulay Library
101,Gnathonemus_longibarbis_SRR8892979,Gnathonemus,longibarbis,Gnathonemus longibarbis,??,
140,Brevimyrus_niger_SRR8885151,Brevimyrus,niger,Brevimyrus niger,TP,Macaulay Library
52,Brienomyrus_brachyistius_SRR8885730,Brienomyrus,brachyistius,Brienomyrus brachyistius,TP,Macaulay Library
53,Brienomyrus_longianalis_SRR8885729,Brienomyrus,longianalis,Brienomyrus longianalis,TP,Macaulay Library
76,Hippopotamyrus_pappenheimi_58_A07,Hippopotamyrus,pappenheimi,Hippopotamyrus pappenheimi,??,Ask John?
64,Hippopotamyrus_paugyi_58_B05,Hippopotamyrus,paugyi,Hippopotamyrus paugyi,??,Ask John?
78,Hippopotamyrus_szaboi_67_A08,Hippopotamyrus,szaboi,Hippopotamyrus szaboi,??,Ask John?
