FID	IID	pheno
APA_6675	APA_6675	1
APA_6676	APA_6676	1
APA_6677	APA_6677	1
APA_6678	APA_6678	1
APA_6679	APA_6679	1
APA_6680	APA_6680	1
APA_6682	APA_6682	1
APA_6683	APA_6683	1
APA_6684	APA_6684	1
APA_6685	APA_6685	1
APA_6687	APA_6687	1
APA_6707	APA_6707	1
APA_6708	APA_6708	1
APA_6709	APA_6709	1
APA_6710	APA_6710	1
APA_6711	APA_6711	1
APA_6712	APA_6712	1
APA_6737	APA_6737	1
APA_193	APA_193	-9
APA_198	APA_198	-9
APA_203	APA_203	-9
APA_207	APA_207	-9
APA_208	APA_208	-9
APA_212	APA_212	-9
APA_213	APA_213	-9
APA_273	APA_273	-9
APA_302	APA_302	-9
APA_309	APA_309	-9
APA_6681	APA_6681	-9
APA_6713	APA_6713	-9
