FID	IID	pheno
APA_193	APA_193	-9
APA_198	APA_198	-9
APA_203	APA_203	-9
APA_207	APA_207	-9
APA_208	APA_208	-9
APA_212	APA_212	-9
APA_213	APA_213	-9
APA_223	APA_223	-9
APA_273	APA_273	-9
APA_302	APA_302	-9
APA_309	APA_309	-9
APA_6675	APA_6675	1
APA_6676	APA_6676	1
APA_6677	APA_6677	1
APA_6678	APA_6678	1
APA_6679	APA_6679	1
APA_6680	APA_6680	1
APA_6681	APA_6681	-9
APA_6682	APA_6682	1
APA_6683	APA_6683	1
APA_6684	APA_6684	1
APA_6685	APA_6685	1
APA_6687	APA_6687	1
APA_6707	APA_6707	1
APA_6708	APA_6708	1
APA_6709	APA_6709	1
APA_6710	APA_6710	1
APA_6711	APA_6711	1
APA_6712	APA_6712	1
APA_6713	APA_6713	-9
APA_6737	APA_6737	1
BAM_165	BAM_165	-9
BAM_166	BAM_166	-9
BAM_167	BAM_167	-9
BAM_169	BAM_169	-9
BAM_171	BAM_171	-9
BAM_172	BAM_172	-9
BAM_175	BAM_175	-9
BAM_182	BAM_182	-9
BAM_247	BAM_247	-9
BAM_250	BAM_250	-9
BAM_6494	BAM_6494	-9
BAM_6496	BAM_6496	2
BAM_6497	BAM_6497	2
BAM_6498	BAM_6498	2
BAM_6499	BAM_6499	-9
BAM_6500	BAM_6500	2
BAM_6501	BAM_6501	2
BAM_6502	BAM_6502	2
BAM_6542	BAM_6542	2
BAM_6544	BAM_6544	2
BAM_6545	BAM_6545	2
BAM_6546	BAM_6546	-9
BAM_6547	BAM_6547	2
BAM_6548	BAM_6548	2
BAM_6549	BAM_6549	2
BAM_6550	BAM_6550	-9
BAM_6552	BAM_6552	2
BAM_6553	BAM_6553	2
BAM_6555	BAM_6555	2
BAM_6557	BAM_6557	2
BAM_6558	BAM_6558	2
BAM_6559	BAM_6559	2
BAM_6560	BAM_6560	2
BAM_6561	BAM_6561	2
BAM_6562	BAM_6562	2
BAM_6564	BAM_6564	2
BAM_6565	BAM_6565	2
BAM_6566	BAM_6566	2
BAM_6567	BAM_6567	2
BAM_6568	BAM_6568	2
BAM_6569	BAM_6569	2
BAM_6597	BAM_6597	1
BAM_6598	BAM_6598	2
BAM_6599	BAM_6599	2
BAM_6602	BAM_6602	2
BAM_6603	BAM_6603	2
BAM_6604	BAM_6604	-9
BAM_6605	BAM_6605	-9
BAM_6834	BAM_6834	-9
BAM_6835	BAM_6835	-9
BAM_6836	BAM_6836	-9
BAM_6837	BAM_6837	-9
BAM_6838	BAM_6838	-9
BAM_6839	BAM_6839	-9
BAM_6840	BAM_6840	-9
BAM_6843	BAM_6843	-9
BAM_6844	BAM_6844	-9
BAM_6864	BAM_6864	2
BAM_6865	BAM_6865	2
BAM_6866	BAM_6866	2
BAM_6867	BAM_6867	2
BAM_6868	BAM_6868	2
BAM_6869	BAM_6869	2
BAM_6870	BAM_6870	2
BAM_6871	BAM_6871	2
BAM_6879	BAM_6879	-9
BEN_699	BEN_699	1
BEN_704	BEN_704	1
BEN_705	BEN_705	1
BEN_706	BEN_706	1
BEN_707	BEN_707	1
BEN_708	BEN_708	1
BEN_713	BEN_713	1
BEN_715	BEN_715	1
BEN_717	BEN_717	1
BEN_718	BEN_718	1
BEN_719	BEN_719	1
BEN_721	BEN_721	1
BEN_722	BEN_722	1
BEN_723	BEN_723	1
BEN_724	BEN_724	1
BEN_725	BEN_725	1
BEN_726	BEN_726	1
DOG_628	DOG_628	1
DOG_629	DOG_629	1
DOG_630	DOG_630	1
DOG_631	DOG_631	1
DOG_632	DOG_632	1
DOG_635	DOG_635	1
DOG_636	DOG_636	1
DOG_637	DOG_637	1
DOG_638	DOG_638	1
DOG_639	DOG_639	1
DOG_640	DOG_640	1
DOG_641	DOG_641	1
DOG_643	DOG_643	1
DOG_647	DOG_647	1
DOG_649	DOG_649	1
DOV_664	DOV_664	1
DOV_665	DOV_665	1
DOV_666	DOV_666	1
DOV_667	DOV_667	1
DOV_669	DOV_669	1
DOV_670	DOV_670	1
DOV_671	DOV_671	1
DOV_672	DOV_672	1
DOV_674	DOV_674	1
DOV_679	DOV_679	1
DOV_680	DOV_680	1
DOV_682	DOV_682	1
DOV_683	DOV_683	1
DOV_684	DOV_684	1
DOV_687	DOV_687	1
DOV_690	DOV_690	1
