FID	IID	pheno
BAVA_6619	BAVA_6619	2
BAVA_6620	BAVA_6620	2
BAVA_6621	BAVA_6621	2
BAVA_6622	BAVA_6622	2
BAVA_6623	BAVA_6623	2
BAVA_6626	BAVA_6626	2
BAVA_6627	BAVA_6627	2
BAVA_6628	BAVA_6628	2
BAVA_6629	BAVA_6629	2
BAVA_6881	BAVA_6881	2
BAVA_6882	BAVA_6882	2
BAVA_6883	BAVA_6883	2
BAVA_6884	BAVA_6884	2
BAVA_6885	BAVA_6885	2
BAVA_6887	BAVA_6887	2
BAVA_6888	BAVA_6888	2
BAVA_6889	BAVA_6889	2
BAVA_6890	BAVA_6890	2
BAVA_6891	BAVA_6891	2
BAVA_6892	BAVA_6892	2
BAVA_6893	BAVA_6893	2
DOG_628	DOG_628	1
DOG_629	DOG_629	1
DOG_630	DOG_630	1
DOG_631	DOG_631	1
DOG_632	DOG_632	1
DOG_635	DOG_635	1
DOG_636	DOG_636	1
DOG_637	DOG_637	1
DOG_638	DOG_638	1
DOG_639	DOG_639	1
DOG_640	DOG_640	1
DOG_641	DOG_641	1
DOG_643	DOG_643	1
DOG_647	DOG_647	1
DOG_649	DOG_649	1
DOV_664	DOV_664	1
DOV_665	DOV_665	1
DOV_666	DOV_666	1
DOV_667	DOV_667	1
DOV_669	DOV_669	1
DOV_670	DOV_670	1
DOV_671	DOV_671	1
DOV_672	DOV_672	1
DOV_674	DOV_674	1
DOV_679	DOV_679	1
DOV_680	DOV_680	1
DOV_682	DOV_682	1
DOV_683	DOV_683	1
DOV_684	DOV_684	1
DOV_687	DOV_687	1
DOV_690	DOV_690	1
BAVA_6624	BAVA_6624	-9
BAVA_6625	BAVA_6625	-9
