FID	IID	pheno
BIK_6898	BIK_6898	0
BIK_6899	BIK_6899	0
BIK_6900	BIK_6900	0
BIK_6901	BIK_6901	0
BIK_6902	BIK_6902	0
BIK_6903	BIK_6903	0
BIK_6904	BIK_6904	0
BIK_6905	BIK_6905	0
BIK_6906	BIK_6906	0
BIK_6907	BIK_6907	0
BIK_6909	BIK_6909	0
BIK_6910	BIK_6910	0
BIK_6911	BIK_6911	0
BIK_6912	BIK_6912	0
BIK_6913	BIK_6913	0
BIK_6914	BIK_6914	0
BIK_6915	BIK_6915	0
BIK_6916	BIK_6916	0
BIK_6917	BIK_6917	0
BIK_6920	BIK_6920	0
BIK_6921	BIK_6921	0
BIK_6922	BIK_6922	0
BIK_6924	BIK_6924	0
BIK_6925	BIK_6925	0
BIK_6926	BIK_6926	0
BIK_6927	BIK_6927	0
BIK_6918	BIK_6918	-9
BIK_6919	BIK_6919	-9
BIK_6923	BIK_6923	-9
BIK_6908	BIK_6908	0
