FID	IID	pheno
BIR_334	BIR_334	2
BIR_336	BIR_336	2
BIR_338	BIR_338	2
BIR_340	BIR_340	2
BIR_341	BIR_341	2
BIR_342	BIR_342	2
BIR_343	BIR_343	2
BIR_345	BIR_345	2
BIR_346	BIR_346	2
BIR_348	BIR_348	2
BIR_349	BIR_349	2
BIR_351	BIR_351	2
BIR_352	BIR_352	2
BIR_357	BIR_357	2
BIR_359	BIR_359	2
DOG_628	DOG_628	1
DOG_629	DOG_629	1
DOG_630	DOG_630	1
DOG_631	DOG_631	1
DOG_632	DOG_632	1
DOG_635	DOG_635	1
DOG_636	DOG_636	1
DOG_637	DOG_637	1
DOG_638	DOG_638	1
DOG_639	DOG_639	1
DOG_640	DOG_640	1
DOG_641	DOG_641	1
DOG_643	DOG_643	1
DOG_647	DOG_647	1
DOG_649	DOG_649	1
DOV_664	DOV_664	1
DOV_665	DOV_665	1
DOV_666	DOV_666	1
DOV_667	DOV_667	1
DOV_669	DOV_669	1
DOV_670	DOV_670	1
DOV_671	DOV_671	1
DOV_672	DOV_672	1
DOV_674	DOV_674	1
DOV_679	DOV_679	1
DOV_680	DOV_680	1
DOV_682	DOV_682	1
DOV_683	DOV_683	1
DOV_684	DOV_684	1
DOV_687	DOV_687	1
DOV_690	DOV_690	1
BIR_344	BIR_344	2
