FID	IID	pheno
BIK_6898	BIK_6898	2
BIK_6899	BIK_6899	2
BIK_6900	BIK_6900	2
BIK_6901	BIK_6901	2
BIK_6902	BIK_6902	2
BIK_6903	BIK_6903	2
BIK_6904	BIK_6904	2
BIK_6905	BIK_6905	2
BIK_6906	BIK_6906	2
BIK_6907	BIK_6907	2
BIK_6909	BIK_6909	2
BIK_6910	BIK_6910	2
BIK_6911	BIK_6911	2
BIK_6912	BIK_6912	2
BIK_6913	BIK_6913	2
BIK_6914	BIK_6914	2
BIK_6915	BIK_6915	2
BIK_6916	BIK_6916	2
BIK_6917	BIK_6917	2
BIK_6920	BIK_6920	2
BIK_6921	BIK_6921	2
BIK_6922	BIK_6922	2
BIK_6924	BIK_6924	2
BIK_6925	BIK_6925	2
BIK_6926	BIK_6926	2
BIK_6927	BIK_6927	2
DOG_628	DOG_628	1
DOG_629	DOG_629	1
DOG_630	DOG_630	1
DOG_631	DOG_631	1
DOG_632	DOG_632	1
DOG_635	DOG_635	1
DOG_636	DOG_636	1
DOG_637	DOG_637	1
DOG_638	DOG_638	1
DOG_639	DOG_639	1
DOG_640	DOG_640	1
DOG_641	DOG_641	1
DOG_643	DOG_643	1
DOG_647	DOG_647	1
DOG_649	DOG_649	1
DOV_664	DOV_664	1
DOV_665	DOV_665	1
DOV_666	DOV_666	1
DOV_667	DOV_667	1
DOV_669	DOV_669	1
DOV_670	DOV_670	1
DOV_671	DOV_671	1
DOV_672	DOV_672	1
DOV_674	DOV_674	1
DOV_679	DOV_679	1
DOV_680	DOV_680	1
DOV_682	DOV_682	1
DOV_683	DOV_683	1
DOV_684	DOV_684	1
DOV_687	DOV_687	1
DOV_690	DOV_690	1
BIK_6918	BIK_6918	-9
BIK_6919	BIK_6919	-9
BIK_6923	BIK_6923	-9
BIK_6908	BIK_6908	2
