FID	IID	pheno
BEN_699	BEN_699	1
BEN_704	BEN_704	1
BEN_705	BEN_705	1
BEN_706	BEN_706	1
BEN_707	BEN_707	1
BEN_708	BEN_708	1
BEN_713	BEN_713	1
BEN_715	BEN_715	1
BEN_717	BEN_717	1
BEN_718	BEN_718	1
BEN_719	BEN_719	1
BEN_721	BEN_721	1
BEN_722	BEN_722	1
BEN_723	BEN_723	1
BEN_724	BEN_724	1
BEN_725	BEN_725	1
BEN_726	BEN_726	1
BIR_334	BIR_334	2
BIR_336	BIR_336	2
BIR_338	BIR_338	2
BIR_340	BIR_340	2
BIR_341	BIR_341	2
BIR_342	BIR_342	2
BIR_343	BIR_343	2
BIR_344	BIR_344	-9
BIR_345	BIR_345	2
BIR_346	BIR_346	2
BIR_348	BIR_348	2
BIR_349	BIR_349	2
BIR_351	BIR_351	2
BIR_352	BIR_352	2
BIR_357	BIR_357	2
BIR_359	BIR_359	2
