FID	IID	pheno
BAVA_6619	BAVA_6619	0
BAVA_6620	BAVA_6620	0
BAVA_6621	BAVA_6621	0
BAVA_6622	BAVA_6622	0
BAVA_6623	BAVA_6623	0
BAVA_6626	BAVA_6626	0
BAVA_6627	BAVA_6627	0
BAVA_6628	BAVA_6628	0
BAVA_6629	BAVA_6629	0
BAVA_6881	BAVA_6881	0
BAVA_6882	BAVA_6882	0
BAVA_6883	BAVA_6883	0
BAVA_6884	BAVA_6884	0
BAVA_6885	BAVA_6885	0
BAVA_6887	BAVA_6887	0
BAVA_6888	BAVA_6888	0
BAVA_6889	BAVA_6889	0
BAVA_6890	BAVA_6890	0
BAVA_6891	BAVA_6891	0
BAVA_6892	BAVA_6892	0
BAVA_6893	BAVA_6893	0
BIK_6898	BIK_6898	0
BIK_6899	BIK_6899	0
BIK_6900	BIK_6900	0
BIK_6901	BIK_6901	0
BIK_6902	BIK_6902	0
BIK_6903	BIK_6903	0
BIK_6904	BIK_6904	0
BIK_6905	BIK_6905	0
BIK_6906	BIK_6906	0
BIK_6907	BIK_6907	0
BIK_6909	BIK_6909	0
BIK_6910	BIK_6910	0
BIK_6911	BIK_6911	0
BIK_6912	BIK_6912	0
BIK_6913	BIK_6913	0
BIK_6914	BIK_6914	0
BIK_6915	BIK_6915	0
BIK_6916	BIK_6916	0
BIK_6917	BIK_6917	0
BIK_6920	BIK_6920	0
BIK_6921	BIK_6921	0
BIK_6922	BIK_6922	0
BIK_6924	BIK_6924	0
BIK_6925	BIK_6925	0
BIK_6926	BIK_6926	0
BIK_6927	BIK_6927	0
BIR_334	BIR_334	0
BIR_336	BIR_336	0
BIR_338	BIR_338	0
BIR_340	BIR_340	0
BIR_341	BIR_341	0
BIR_342	BIR_342	0
BIR_343	BIR_343	0
BIR_345	BIR_345	0
BIR_346	BIR_346	0
BIR_348	BIR_348	0
BIR_349	BIR_349	0
BIR_351	BIR_351	0
BIR_352	BIR_352	0
BIR_357	BIR_357	0
BIR_359	BIR_359	0
APA_6675	APA_6675	2
APA_6676	APA_6676	2
APA_6677	APA_6677	2
APA_6678	APA_6678	2
APA_6679	APA_6679	2
APA_6680	APA_6680	2
APA_6682	APA_6682	2
APA_6683	APA_6683	2
APA_6684	APA_6684	2
APA_6685	APA_6685	2
APA_6687	APA_6687	2
APA_6707	APA_6707	2
APA_6708	APA_6708	2
APA_6709	APA_6709	2
APA_6710	APA_6710	2
APA_6711	APA_6711	2
APA_6712	APA_6712	2
APA_6737	APA_6737	2
BEN_699	BEN_699	2
BEN_704	BEN_704	2
BEN_705	BEN_705	2
BEN_706	BEN_706	2
BEN_707	BEN_707	2
BEN_708	BEN_708	2
BEN_713	BEN_713	2
BEN_715	BEN_715	2
BEN_717	BEN_717	2
BEN_718	BEN_718	2
BEN_719	BEN_719	2
BEN_721	BEN_721	2
BEN_722	BEN_722	2
BEN_723	BEN_723	2
BEN_724	BEN_724	2
BEN_725	BEN_725	2
BEN_726	BEN_726	2
DOG_628	DOG_628	2
DOG_629	DOG_629	2
DOG_630	DOG_630	2
DOG_631	DOG_631	2
DOG_632	DOG_632	2
DOG_635	DOG_635	2
DOG_636	DOG_636	2
DOG_637	DOG_637	2
DOG_638	DOG_638	2
DOG_639	DOG_639	2
DOG_640	DOG_640	2
DOG_641	DOG_641	2
DOG_643	DOG_643	2
DOG_647	DOG_647	2
DOG_649	DOG_649	2
DOV_664	DOV_664	2
DOV_665	DOV_665	2
DOV_666	DOV_666	2
DOV_667	DOV_667	2
DOV_669	DOV_669	2
DOV_670	DOV_670	2
DOV_671	DOV_671	2
DOV_672	DOV_672	2
DOV_674	DOV_674	2
DOV_679	DOV_679	2
DOV_680	DOV_680	2
DOV_682	DOV_682	2
DOV_683	DOV_683	2
DOV_684	DOV_684	2
DOV_687	DOV_687	2
DOV_690	DOV_690	2
MOV_6716	MOV_6716	2
MOV_6717	MOV_6717	2
MOV_6718	MOV_6718	2
MOV_6719	MOV_6719	2
MOV_6720	MOV_6720	2
MOV_6721	MOV_6721	2
MOV_6722	MOV_6722	2
MOV_6723	MOV_6723	2
MOV_6724	MOV_6724	2
MOV_6725	MOV_6725	2
APA_193	APA_193	1
APA_198	APA_198	1
APA_203	APA_203	1
APA_207	APA_207	1
APA_208	APA_208	1
APA_212	APA_212	1
APA_213	APA_213	1
APA_273	APA_273	1
APA_302	APA_302	1
APA_309	APA_309	1
APA_6681	APA_6681	1
APA_6713	APA_6713	1
BAVA_6624	BAVA_6624	1
BAVA_6625	BAVA_6625	1
BIK_6918	BIK_6918	1
BIK_6919	BIK_6919	1
BIK_6923	BIK_6923	1
BIK_6908	BIK_6908	0
BIR_344	BIR_344	0
