FID	IID	pheno
BAM_6496	BAM_6496	2
BAM_6497	BAM_6497	2
BAM_6498	BAM_6498	2
BAM_6500	BAM_6500	2
BAM_6501	BAM_6501	2
BAM_6502	BAM_6502	2
BAM_6542	BAM_6542	2
BAM_6544	BAM_6544	2
BAM_6545	BAM_6545	2
BAM_6547	BAM_6547	2
BAM_6548	BAM_6548	2
BAM_6549	BAM_6549	2
BAM_6552	BAM_6552	2
BAM_6553	BAM_6553	2
BAM_6555	BAM_6555	2
BAM_6557	BAM_6557	2
BAM_6558	BAM_6558	2
BAM_6559	BAM_6559	2
BAM_6560	BAM_6560	2
BAM_6561	BAM_6561	2
BAM_6562	BAM_6562	2
BAM_6564	BAM_6564	2
BAM_6565	BAM_6565	2
BAM_6566	BAM_6566	2
BAM_6567	BAM_6567	2
BAM_6568	BAM_6568	2
BAM_6569	BAM_6569	2
BAM_6598	BAM_6598	2
BAM_6599	BAM_6599	2
BAM_6602	BAM_6602	2
BAM_6603	BAM_6603	2
BAM_6605	BAM_6605	2
BAM_6864	BAM_6864	2
BAM_6865	BAM_6865	2
BAM_6866	BAM_6866	2
BAM_6867	BAM_6867	2
BAM_6868	BAM_6868	2
BAM_6869	BAM_6869	2
BAM_6870	BAM_6870	2
BAM_6871	BAM_6871	2
BAVA_6619	BAVA_6619	2
BAVA_6620	BAVA_6620	2
BAVA_6621	BAVA_6621	2
BAVA_6622	BAVA_6622	2
BAVA_6623	BAVA_6623	2
BAVA_6626	BAVA_6626	2
BAVA_6627	BAVA_6627	2
BAVA_6628	BAVA_6628	2
BAVA_6629	BAVA_6629	2
BAVA_6881	BAVA_6881	2
BAVA_6882	BAVA_6882	2
BAVA_6883	BAVA_6883	2
BAVA_6884	BAVA_6884	2
BAVA_6885	BAVA_6885	2
BAVA_6887	BAVA_6887	2
BAVA_6888	BAVA_6888	2
BAVA_6889	BAVA_6889	2
BAVA_6890	BAVA_6890	2
BAVA_6891	BAVA_6891	2
BAVA_6892	BAVA_6892	2
BAVA_6893	BAVA_6893	2
BIK_6898	BIK_6898	2
BIK_6899	BIK_6899	2
BIK_6900	BIK_6900	2
BIK_6901	BIK_6901	2
BIK_6902	BIK_6902	2
BIK_6903	BIK_6903	2
BIK_6904	BIK_6904	2
BIK_6905	BIK_6905	2
BIK_6906	BIK_6906	2
BIK_6907	BIK_6907	2
BIK_6909	BIK_6909	2
BIK_6910	BIK_6910	2
BIK_6911	BIK_6911	2
BIK_6912	BIK_6912	2
BIK_6913	BIK_6913	2
BIK_6914	BIK_6914	2
BIK_6915	BIK_6915	2
BIK_6916	BIK_6916	2
BIK_6917	BIK_6917	2
BIK_6920	BIK_6920	2
BIK_6921	BIK_6921	2
BIK_6922	BIK_6922	2
BIK_6924	BIK_6924	2
BIK_6925	BIK_6925	2
BIK_6926	BIK_6926	2
BIK_6927	BIK_6927	2
BIR_334	BIR_334	2
BIR_336	BIR_336	2
BIR_338	BIR_338	2
BIR_340	BIR_340	2
BIR_341	BIR_341	2
BIR_342	BIR_342	2
BIR_343	BIR_343	2
BIR_345	BIR_345	2
BIR_346	BIR_346	2
BIR_348	BIR_348	2
BIR_349	BIR_349	2
BIR_351	BIR_351	2
BIR_352	BIR_352	2
BIR_357	BIR_357	2
BIR_359	BIR_359	2
COB_4004	COB_4004	2
COB_4006	COB_4006	2
COB_4027	COB_4027	2
COB_4029	COB_4029	2
APA_6675	APA_6675	0
APA_6676	APA_6676	0
APA_6677	APA_6677	0
APA_6678	APA_6678	0
APA_6679	APA_6679	0
APA_6680	APA_6680	0
APA_6682	APA_6682	0
APA_6683	APA_6683	0
APA_6684	APA_6684	0
APA_6685	APA_6685	0
APA_6687	APA_6687	0
APA_6707	APA_6707	0
APA_6708	APA_6708	0
APA_6709	APA_6709	0
APA_6710	APA_6710	0
APA_6711	APA_6711	0
APA_6712	APA_6712	0
APA_6737	APA_6737	0
BAM_6597	BAM_6597	0
BEN_699	BEN_699	0
BEN_704	BEN_704	0
BEN_705	BEN_705	0
BEN_706	BEN_706	0
BEN_707	BEN_707	0
BEN_708	BEN_708	0
BEN_713	BEN_713	0
BEN_715	BEN_715	0
BEN_717	BEN_717	0
BEN_718	BEN_718	0
BEN_719	BEN_719	0
BEN_721	BEN_721	0
BEN_722	BEN_722	0
BEN_723	BEN_723	0
BEN_724	BEN_724	0
BEN_725	BEN_725	0
BEN_726	BEN_726	0
COB_4018	COB_4018	0
COB_4019	COB_4019	0
DOG_628	DOG_628	0
DOG_629	DOG_629	0
DOG_630	DOG_630	0
DOG_631	DOG_631	0
DOG_632	DOG_632	0
DOG_635	DOG_635	0
DOG_636	DOG_636	0
DOG_637	DOG_637	0
DOG_638	DOG_638	0
DOG_639	DOG_639	0
DOG_640	DOG_640	0
DOG_641	DOG_641	0
DOG_643	DOG_643	0
DOG_647	DOG_647	0
DOG_649	DOG_649	0
DOV_664	DOV_664	0
DOV_665	DOV_665	0
DOV_666	DOV_666	0
DOV_667	DOV_667	0
DOV_669	DOV_669	0
DOV_670	DOV_670	0
DOV_671	DOV_671	0
DOV_672	DOV_672	0
DOV_674	DOV_674	0
DOV_679	DOV_679	0
DOV_680	DOV_680	0
DOV_682	DOV_682	0
DOV_683	DOV_683	0
DOV_684	DOV_684	0
DOV_687	DOV_687	0
DOV_690	DOV_690	0
IVI_4816	IVI_4816	0
IVI_4832	IVI_4832	0
IVI_4834	IVI_4834	0
IVI_4893	IVI_4893	0
IVI_4894	IVI_4894	0
IVI_4895	IVI_4895	0
IVI_4896	IVI_4896	0
IVI_4897	IVI_4897	0
IVI_4921	IVI_4921	0
IVI_4925	IVI_4925	0
MOV_6716	MOV_6716	0
MOV_6717	MOV_6717	0
MOV_6718	MOV_6718	0
MOV_6719	MOV_6719	0
MOV_6720	MOV_6720	0
MOV_6721	MOV_6721	0
MOV_6722	MOV_6722	0
MOV_6723	MOV_6723	0
MOV_6724	MOV_6724	0
MOV_6725	MOV_6725	0
APA_193	APA_193	1
APA_198	APA_198	1
APA_203	APA_203	1
APA_207	APA_207	1
APA_208	APA_208	1
APA_212	APA_212	1
APA_213	APA_213	1
APA_223	APA_223	1
APA_273	APA_273	1
APA_302	APA_302	1
APA_309	APA_309	1
APA_6681	APA_6681	1
APA_6713	APA_6713	1
BAM_165	BAM_165	1
BAM_166	BAM_166	1
BAM_167	BAM_167	1
BAM_169	BAM_169	1
BAM_171	BAM_171	1
BAM_172	BAM_172	1
BAM_175	BAM_175	1
BAM_182	BAM_182	1
BAM_247	BAM_247	1
BAM_250	BAM_250	1
BAM_6499	BAM_6499	1
BAM_6546	BAM_6546	1
BAM_6550	BAM_6550	1
BAM_6604	BAM_6604	1
BAM_6834	BAM_6834	1
BAM_6835	BAM_6835	1
BAM_6836	BAM_6836	1
BAM_6837	BAM_6837	1
BAM_6838	BAM_6838	1
BAM_6839	BAM_6839	1
BAM_6840	BAM_6840	1
BAM_6843	BAM_6843	1
BAM_6844	BAM_6844	1
BAM_6879	BAM_6879	1
BAVA_6624	BAVA_6624	1
BAVA_6625	BAVA_6625	1
BIK_6918	BIK_6918	1
BIK_6919	BIK_6919	1
BIK_6923	BIK_6923	1
BAM_6494	BAM_6494	2
BIK_6908	BIK_6908	2
BIR_344	BIR_344	2
