"","TXNAME","GENEID"
"1","XM_023835667.2","42sp43"
"2","XM_023790312.2","LOC111832677"
"3","XM_023790313.2","LOC111832677"
"4","XR_002835569.1","LOC111832679"
"5","XM_023790322.2","LOC111832687"
"6","XM_023790324.2","LOC111832687"
"7","XM_023790325.2","LOC111832687"
"8","XM_023790327.2","LOC111832687"
"9","XM_023790326.2","LOC111832687"
"10","XM_023790329.2","LOC111832687"
"11","XM_023790335.2","LOC111832692"
"12","XM_072714683.1","LOC111832694"
"13","XM_072714684.1","LOC111832694"
"14","XM_072714682.1","LOC111832694"
"15","XM_023790340.2","LOC111832695"
"16","XM_023790341.2","LOC111832695"
"17","XM_023790342.2","LOC111832695"
"18","XM_023790343.2","LOC111832695"
"19","XM_023790344.2","LOC111832696"
"20","XM_072717096.1","LOC111832698"
"21","XM_023790356.2","LOC111832701"
"22","XR_011993870.1","LOC111832701"
"23","XR_011993871.1","LOC111832703"
"24","XR_011993873.1","LOC111832703"
"25","XR_011993872.1","LOC111832703"
"26","XM_023790366.2","LOC111832708"
"27","XM_023790370.2","LOC111832711"
"28","XM_072711966.1","LOC111832712"
"29","XR_002835575.2","LOC111832713"
"30","XM_023790380.2","LOC111832719"
"31","XM_023790379.2","LOC111832719"
"32","XM_023790378.2","LOC111832719"
"33","XM_023790381.2","LOC111832719"
"34","XM_072703967.1","LOC111832720"
"35","XM_023790382.2","LOC111832721"
"36","XR_002835577.2","LOC111832728"
"37","XM_023790401.2","LOC111832734"
"38","XM_023790402.2","LOC111832734"
"39","XM_023790407.2","LOC111832738"
"40","XM_023790409.2","LOC111832740"
"41","XM_023790410.2","LOC111832741"
"42","XM_072703930.1","LOC111832744"
"43","XM_023790416.2","LOC111832746"
"44","XM_023790415.2","LOC111832746"
"45","XR_002835578.2","LOC111832749"
"46","XR_002835579.2","LOC111832749"
"47","XM_023790432.2","LOC111832751"
"48","XR_002835580.1","LOC111832756"
"49","XR_011993699.1","LOC111832758"
"50","XR_011993700.1","LOC111832758"
"51","XM_023790445.2","LOC111832760"
"52","XM_023790446.2","LOC111832761"
"53","XM_023790449.2","LOC111832763"
"54","XM_072718351.1","LOC111832763"
"55","XR_002835583.2","LOC111832765"
"56","XR_011993866.1","LOC111832765"
"57","XR_002835584.2","LOC111832765"
"58","XR_011993865.1","LOC111832765"
"59","XM_072717171.1","LOC111832774"
"60","XR_011993498.1","LOC111832779"
"61","XR_011993497.1","LOC111832779"
"62","XR_011993499.1","LOC111832779"
"63","XR_011993500.1","LOC111832779"
"64","XR_011993502.1","LOC111832780"
"65","XR_002835589.2","LOC111832780"
"66","XR_011993501.1","LOC111832780"
"67","XR_002835590.1","LOC111832782"
"68","XR_002835591.1","LOC111832783"
"69","XR_002835592.1","LOC111832784"
"70",NA,"LOC111832785"
"71","XM_023790481.2","LOC111832789"
"72","XM_072717001.1","LOC111832789"
"73","XM_072717009.1","LOC111832789"
"74","XM_072717010.1","LOC111832789"
"75","XM_072717022.1","LOC111832789"
"76","XM_072717025.1","LOC111832789"
"77","XR_011993203.1","LOC111832789"
"78","XR_011993209.1","LOC111832789"
"79","XM_072717005.1","LOC111832789"
"80","XR_011993191.1","LOC111832789"
"81","XR_011993197.1","LOC111832789"
"82","XM_023790479.2","LOC111832790"
"83","XR_002835593.2","LOC111832791"
"84","XM_023790484.2","LOC111832793"
"85","XM_023790485.2","LOC111832793"
"86","XM_072705961.1","LOC111832797"
"87","XM_023790511.2","LOC111832802"
"88","XM_023790518.2","LOC111832802"
"89","XM_023790526.2","LOC111832802"
"90","XM_023790501.2","LOC111832802"
"91","XR_011984981.1","LOC111832805"
"92",NA,"LOC111832808"
"93","XM_023790519.2","LOC111832812"
"94","XM_023790522.2","LOC111832814"
"95","XM_023790523.2","LOC111832814"
"96","XM_023790524.2","LOC111832815"
"97","XR_002835597.2","LOC111832816"
"98","XR_011993495.1","LOC111832821"
"99","XM_023790530.2","LOC111832822"
"100","XM_023790531.2","LOC111832822"
"101","XM_023790532.2","LOC111832822"
"102","XR_002835599.2","LOC111832823"
"103","XR_002835598.2","LOC111832824"
"104","XR_011990141.1","LOC111832824"
"105","XM_023790533.2","LOC111832825"
"106","XM_072711693.1","LOC111832826"
"107","XM_023790535.2","LOC111832826"
"108","XM_023790534.2","LOC111832826"
"109","XM_023790536.2","LOC111832826"
