SpecNo	Population	R1	R2	Phenotype	EOD_FILE	PN	NewPhenotype
160	APA 	PK-160_R1_001.fastq.gz	PK-160_R2_001.fastq.gz	TP	PKING_160.mat	APA_160	BTP
161	APA 	PK-161_R1_001.fastq.gz	PK-161_R2_001.fastq.gz	TP	PKING_161.mat	APA_161	BTP
187	APA 	PK-187_R1_001.fastq.gz	PK-187_R2_001.fastq.gz	TP	PKING_187.mat	APA_187	STP
188	APA 	PK-188_R1_001.fastq.gz	PK-188_R2_001.fastq.gz	TP	PKING_188.mat	APA_188	MTP
189	APA 	PK-189_R1_001.fastq.gz	PK-189_R2_001.fastq.gz	TP	PKING_189.mat	APA_189	MTP
190	APA 	PK-190_R1_001.fastq.gz	PK-190_R2_001.fastq.gz	TP	PKING_190.mat	APA_190	STP
151	BAM 	PK-151_R1_001.fastq.gz	PK-151_R2_001.fastq.gz	BP	PKING_151.mat	BAM_151	BP
153	BAM 	PK-153_R1_001.fastq.gz	PK-153_R2_001.fastq.gz	BP	PKING_153.mat	BAM_153	BP
154	BAM 	PK-154_R1_001.fastq.gz	PK-154_R2_001.fastq.gz	BP	PKING_154.mat	BAM_154	BP
155	BAM 	PK-155_R1_001.fastq.gz	PK-155_R2_001.fastq.gz	BP	PKING_155.mat	BAM_155	BP
156	BAM 	PK-156_R1_001.fastq.gz	PK-156_R2_001.fastq.gz	BP	PKING_156.mat	BAM_156	BP
157	BAM 	PK-157_R1_001.fastq.gz	PK-157_R2_001.fastq.gz	BP	PKING_157.mat	BAM_157	BP
PK1	BAM 	PKING1_EO_S49_L001_R1_001.fastq.gz	PKING1_EO_S49_L001_R2_001.fastq.gz	BP	ND	BAM_PK1	BP
PK1	BAM 	PKING1_EO_S49_L003_R1_001.fastq.gz	PKING1_EO_S49_L003_R2_001.fastq.gz	BP	ND	BAM_PK1	BP
PK1	BAM 	PKING1_EO_S49_L004_R1_001.fastq.gz	PKING1_EO_S49_L004_R2_001.fastq.gz	BP	ND	BAM_PK1	BP
PK2	BAM 	PKING_EO_2_TGACCA_L001_R1_001.fastq.gz	PKING_EO_2_TGACCA_L001_R2_001.fastq.gz	BP	ND	BAM_PK2	BP
PK2	BAM 	PKING_EO_2_TGACCA_L002_R1_001.fastq.gz	PKING_EO_2_TGACCA_L002_R2_001.fastq.gz	BP	ND	BAM_PK2	BP
PK3	BAM 	PKING3_EO_S50_L001_R1_001.fastq.gz	PKING3_EO_S50_L001_R2_001.fastq.gz	BP	ND	BAM_PK3	BP
PK3	BAM 	PKING3_EO_S50_L003_R1_001.fastq.gz	PKING3_EO_S50_L003_R2_001.fastq.gz	BP	ND	BAM_PK3	BP
PK3	BAM 	PKING3_EO_S50_L004_R1_001.fastq.gz	PKING3_EO_S50_L004_R2_001.fastq.gz	BP	ND	BAM_PK3	BP
699	BEN 	MSU-699-EO_R1_001.fastq.gz	MSU-699-EO_R2_001.fastq.gz	TP	PKING_699.mat	BEN_699	STP
705	BEN 	MSU-705-EO_R1_001.fastq.gz	MSU-705-EO_R2_001.fastq.gz	TP	PKING-705.mat	BEN_705	STP
706	BEN 	MSU-706-EO_R1_001.fastq.gz	MSU-706-EO_R2_001.fastq.gz	TP	PKING-706.mat	BEN_706	BTP
707	BEN 	MSU-707-EO_R1_001.fastq.gz	MSU-707-EO_R2_001.fastq.gz	TP	PKING-707.mat	BEN_707	MTP
708	BEN 	MSU-708-EO_R1_001.fastq.gz	MSU-708-EO_R2_001.fastq.gz	TP	PKING-708.mat	BEN_708	MTP
